# filename x y z point
2F_day(1).jpg 0.0 0.0 2 1
2F_day(2).jpg 0.0 0.0 2 1
2F_day(3).jpg 0.0 0.0 2 1
2F_day(4).jpg 0.0 0.0 2 1
2F_day(5).jpg 0.0 0.0 2 1
2F_day(6).jpg 0.0 0.0 2 1
2F_day(7).jpg 0.0 0.0 2 1
2F_day(8).jpg 0.0 0.0 2 1
2F_day(9).jpg 0.0 0.0 2 1
2F_day(10).jpg 0.0 0.0 2 1
2F_day(11).jpg 0.0 0.0 2 1
2F_day(12).jpg 0.0 0.0 2 1
2F_day(13).jpg 0.0 0.0 2 1
2F_day(14).jpg 0.0 0.0 2 1
2F_day(15).jpg 0.0 0.0 2 1
2F_day(16).jpg 0.0 0.0 2 1
2F_day(17).jpg 0.0 0.0 2 1
2F_day(18).jpg 0.0 0.0 2 1
2F_day(19).jpg 0.0 0.0 2 1
2F_day(20).jpg 0.0 0.0 2 1
2F_day(21).jpg 0.0 10.8 2 2
2F_day(22).jpg 0.0 10.8 2 2
2F_day(23).jpg 0.0 10.8 2 2
2F_day(24).jpg 0.0 10.8 2 2
2F_day(25).jpg 0.0 10.8 2 2
2F_day(26).jpg 0.0 10.8 2 2
2F_day(27).jpg 0.0 10.8 2 2
2F_day(28).jpg 0.0 10.8 2 2
2F_day(29).jpg 0.0 10.8 2 2
2F_day(30).jpg 0.0 10.8 2 2
2F_day(31).jpg 0.0 10.8 2 2
2F_day(32).jpg 0.0 10.8 2 2
2F_day(33).jpg 0.0 10.8 2 2
2F_day(34).jpg 0.0 10.8 2 2
2F_day(35).jpg 0.0 10.8 2 2
2F_day(36).jpg 0.0 10.8 2 2
2F_day(37).jpg 0.0 10.8 2 2
2F_day(38).jpg 0.0 10.8 2 2
2F_day(39).jpg 0.0 10.8 2 2
2F_day(40).jpg 0.0 10.8 2 2
2F_day(41).jpg 0.0 23.94 2 3
2F_day(42).jpg 0.0 23.94 2 3
2F_day(43).jpg 0.0 23.94 2 3
2F_day(44).jpg 0.0 23.94 2 3
2F_day(45).jpg 0.0 23.94 2 3
2F_day(46).jpg 0.0 23.94 2 3
2F_day(47).jpg 0.0 23.94 2 3
2F_day(48).jpg 0.0 23.94 2 3
2F_day(49).jpg 0.0 23.94 2 3
2F_day(50).jpg 0.0 23.94 2 3
2F_day(51).jpg 0.0 23.94 2 3
2F_day(52).jpg 0.0 23.94 2 3
2F_day(53).jpg 0.0 23.94 2 3
2F_day(54).jpg 0.0 23.94 2 3
2F_day(55).jpg 0.0 23.94 2 3
2F_day(56).jpg 0.0 23.94 2 3
2F_day(57).jpg 0.0 23.94 2 3
2F_day(58).jpg 0.0 23.94 2 3
2F_day(59).jpg 0.0 23.94 2 3
2F_day(60).jpg 0.0 23.94 2 3
2F_day(61).jpg 0.0 27.54 2 4
2F_day(62).jpg 0.0 27.54 2 4
2F_day(63).jpg 0.0 27.54 2 4
2F_day(64).jpg 0.0 27.54 2 4
2F_day(65).jpg 0.0 27.54 2 4
2F_day(66).jpg 0.0 27.54 2 4
2F_day(67).jpg 0.0 27.54 2 4
2F_day(68).jpg 0.0 27.54 2 4
2F_day(69).jpg 0.0 27.54 2 4
2F_day(70).jpg 0.0 27.54 2 4
2F_day(71).jpg 0.0 27.54 2 4
2F_day(72).jpg 0.0 27.54 2 4
2F_day(73).jpg 0.0 27.54 2 4
2F_day(74).jpg 0.0 27.54 2 4
2F_day(75).jpg 0.0 27.54 2 4
2F_day(76).jpg 0.0 27.54 2 4
2F_day(77).jpg 0.0 27.54 2 4
2F_day(78).jpg 0.0 27.54 2 4
2F_day(79).jpg 0.0 27.54 2 4
2F_day(80).jpg 0.0 27.54 2 4
2F_day(81).jpg 0.0 31.14 2 5
2F_day(82).jpg 0.0 31.14 2 5
2F_day(83).jpg 0.0 31.14 2 5
2F_day(84).jpg 0.0 31.14 2 5
2F_day(85).jpg 0.0 31.14 2 5
2F_day(86).jpg 0.0 31.14 2 5
2F_day(87).jpg 0.0 31.14 2 5
2F_day(88).jpg 0.0 31.14 2 5
2F_day(89).jpg 0.0 31.14 2 5
2F_day(90).jpg 0.0 31.14 2 5
2F_day(91).jpg 0.0 31.14 2 5
2F_day(92).jpg 0.0 31.14 2 5
2F_day(93).jpg 0.0 31.14 2 5
2F_day(94).jpg 0.0 31.14 2 5
2F_day(95).jpg 0.0 31.14 2 5
2F_day(96).jpg 0.0 31.14 2 5
2F_day(97).jpg 0.0 31.14 2 5
2F_day(98).jpg 0.0 31.14 2 5
2F_day(99).jpg 0.0 31.14 2 5
2F_day(100).jpg 0.0 31.14 2 5
2F_day(101).jpg 0.0 40.86 2 6
2F_day(102).jpg 0.0 40.86 2 6
2F_day(103).jpg 0.0 40.86 2 6
2F_day(104).jpg 0.0 40.86 2 6
2F_day(105).jpg 0.0 40.86 2 6
2F_day(106).jpg 0.0 40.86 2 6
2F_day(107).jpg 0.0 40.86 2 6
2F_day(108).jpg 0.0 40.86 2 6
2F_day(109).jpg 0.0 40.86 2 6
2F_day(110).jpg 0.0 40.86 2 6
2F_day(111).jpg 0.0 40.86 2 6
2F_day(112).jpg 0.0 40.86 2 6
2F_day(113).jpg 0.0 40.86 2 6
2F_day(114).jpg 0.0 40.86 2 6
2F_day(115).jpg 0.0 40.86 2 6
2F_day(116).jpg 0.0 40.86 2 6
2F_day(117).jpg 0.0 40.86 2 6
2F_day(118).jpg 0.0 40.86 2 6
2F_day(119).jpg 0.0 40.86 2 6
2F_day(120).jpg 0.0 40.86 2 6
2F_day(121).jpg 0.0 50.58 2 7
2F_day(122).jpg 0.0 50.58 2 7
2F_day(123).jpg 0.0 50.58 2 7
2F_day(124).jpg 0.0 50.58 2 7
2F_day(125).jpg 0.0 50.58 2 7
2F_day(126).jpg 0.0 50.58 2 7
2F_day(127).jpg 0.0 50.58 2 7
2F_day(128).jpg 0.0 50.58 2 7
2F_day(129).jpg 0.0 50.58 2 7
2F_day(130).jpg 0.0 50.58 2 7
2F_day(131).jpg 0.0 50.58 2 7
2F_day(132).jpg 0.0 50.58 2 7
2F_day(133).jpg 0.0 50.58 2 7
